name;ru;en;es
Common.Controls.SelectObjectHierarchic.NotFoundMessage;В системе отсутствует информация по вашему запросу;The system is not relevant to your search;El sistema no tiene información relevante para tu búsqueda
Common.Controls.SelectObjectHierarchic.Search;Поиск;Search;Buscar
Common.CreateNew;Создать;New;Crear nuevo
Common.CreateObjectChangeRequest;Создать запрос;Create change request;Crear una solicitud de cambio
Common.CreateAndApproveObjectChangeRequest;Создать и утвердить запрос;Create and approve change request;Crear y aprobar una solicitud de cambio
Common.RejectObjectChangeRequest;Отклонить запрос;Reject change request;Rechazar solicitud de cambio
Common.Delete;Удалить;Delete;Eliminar
Common.Delete.Title;Удаление объекта;Delete object;Eliminar objeto
Common.Delete.Bulk.Title;Удаление объектов;Delete multiple objects;Eliminación masiva
Common.Delete.Confirm;Вы действительно хотите удалить выбранный объект?;Are you sure you want to delete this object?;¿Está seguro de que desea eliminar?
Common.Delete.Bulk.Confirm;Вы действительно хотите удалить выбранные объекты ({0})?;Are you sure you want to delete these {0} objects?;¿Está seguro de que desea eliminar los objetos seleccionados?
Common.Delete.LinkedObjectWarning;Удаление невозможно, так как имеются связанные объекты;Deletion is impossible because of linked objects;La eliminación es imposible debido a objetos vinculados
Common.Edit;Редактировать;Edit;Editar
Common.Edit.MaxLength;При заполнении просим учесть: максимальное количество допустимых символов в одной строке - {0} знаков.;While filling in form consider please that maximum number of symbols {0} in the each row.;Al completar el formulario, considere el número máximo de símbolos {0} en cada fila.
Common.Empty;<отсутствует>;<empty>;Vacío
Common.ExceptSelected;Кроме выбранных;Except selected;Excepto los seleccionados
Common.Filter;Фильтр;Filter;Filtro
Common.Image;Изображение;Image;Imagen
Common.Label.Delegated;делегировано;delegated;delegado
Common.Label.EmptyLink;Требуется перевод;Translation needed;Traducción necesaria 
Common.Label.Info;Справка;Reference;Referencia
Common.Label.PageInfo;Информация к странице;Page information;Información de la página
Common.Labels.DeletingDictElement;Удаление элемента справочника;Removing of dictionary item;Eliminación del elemento del diccionario
Common.LastModified;Последнее изменение;Last modified;Última modificación
Common.Created;Создана;Created;Creado
Common.ListTable.Actions;Действия;Actions;Acciones
Common.Messages.EmployeeMissingRole;Сотрудник не обладает правами на запрашиваемую роль;Employer has no authority for a inquired role;El empleado no tiene autorización para el rol solicitado
Common.Messages.EmployeeNotFound;Сотрудник не обладает правами пользователя БД ОСУР БН РиД;Employer has no authority for EWRM database;El empleado no tiene autoridad para la base de datos EWRM
Common.NoGroup;Без группы;No group;Sin grupo
Common.NotAny;Никакие;Not any;Ninguno
Common.ObjectChangeActions.Create;Создание;Create;Crear
Common.ObjectChangeActions.Edit;Редактирование;Edit;Editar
Common.ObjectNotExists;Объект не существует;Object not exists;El objeto no existe
Common.OnlySelected;Только выбранные;Only selected;Solo seleccionados
Common.Paging.From;из;of;de
Common.Paging.Page;Страница;Page;Página
Common.Paging.TotalRecords;Всего записей;Total records;Total de registros
Common.Paging.First;В начало;First;Primero
Common.Paging.Last;В конец;Last;Último
Common.Report.Generate;Сформировать;Generate;Generar
Common.Save;Сохранить;Save;Guardar
Common.Search;Поиск;Search;Buscar
Common.SelectObject;Выбрать;Select object;Seleccionar objeto
Common.SelectObjects;Выбрать;Select objects;Seleccionar objetos
Common.SelectObject_Field;Выбрать;Select object;Seleccionar objeto
Common.SelectObjects_Field;Выбрать;Select objects;Seleccionar objetos
Common.Text;Текст;Text;Texto
Common.Theme;Тема;Theme;Tema
Common.Theme.Current;Текущая тема;Current theme;Tema actual
Common.Theme.Default;По умолчанию;Default;Por defecto
Common.Theme.Description;Эта страница служит для изменения шрифтов и цветовой схемы;On this page you can change application font and colors;En esta página puedes cambiar la fuente y los colores de la aplicación.
Common.Theme.Select;Выберите тему;Select theme;Selecciona tema
Common.Undelete;Отменить удаление;Undelete;Deshacer borrador
Common.Undelete.Confirm;Вы уверены, что хотите отменить удаление;Are you sure you want to undelete the;¿Estás seguro de que desea deshacer el borrador?
Common.Undelete.Undeletion;Отмена удаления;Undeletion;Cancelación de borrador
Common.Utils;Утилиты;Utils;Utilidades
Common.Wait;Подождите...;Loading...;Cargando...
Common.ValidationError;Предупреждение;There were some problems with your input;Han habido algunos problemas con tu entrada 
Common.ValidationWarning;Предупреждение;Warning;Advertencia
Common.ValidationInfo;Предупреждение;Information;Información
Common.Warnings.SpecifyValues;Необходимо задать значения следующих полей;You must specify values for the following fields;Debes especificar valores para los siguientes campos
Common.View;Просмотр;View;Vista
Common.Xml;Xml;Xml;Xml

Common.Title;Наименование;Name;Nombre
Common.Code;Код;Code;Código
Common.SysName;Системное имя;System name;Nombre del sistema
Common.SystemName;Системное имя;System name;Nombre del sistema
Common.Description;Описание;Description;Descripción
Common.birthdate;Дата рождения;Date of birth;Fecha de nacimiento
Common.firstname;Имя;First name;Nombre
Common.passportno;Номер паспорта;Passport number;Número de pasaporte
Common.patronymic;Отчество;Patronymic;Patrónimo
Common.surname;Фамилия;Surname;Apellido
Common.Version;Версия;Version;Versión
Common.lastmodifieddate;Дата последней модификации;Date of last modification;Fecha de última modificación
Common.lastmodifieddate-s;Дата мод.;Date of modification;Fecha de modificación

SaveFileResult.AntiViralFailure;Загружаемый файл не прошел проверку на наличие вирусов. Проведите антивирусную обработку файла и повторите загрузку или обратитесь к администратору системы;The uploaded file did not pass the virus check. Perform an antivirus scan of the file and retry the upload or contact your system administrator;El archivo cargado no pasó la verificación de virus. Realiza un escaneo antivirus del archivo y vuelve a intentar la carga o contacte al administrador del sistema
SaveFileResult.AntiViralSuspicion;Проверка на наличие вирусов не может быть выполнена. Загружаемый файл может содержать вирусы. Проведите антивирусную обработку файла и повторите загрузку или обратитесь к администратору системы;Virus detection cannot be performed. The uploaded file may contain viruses. Perform an antivirus scan of the file and retry the upload or contact your system administrator;La detección de virus no se puede realizar. El archivo cargado puede contener virus. Realiza un escaneo antivirus del archivo y vuelve a intentar la carga o contacte al administrador del sistema

System.Filter;Фильтр;Filter;Filtro
System.Filter.AddCriteria;Добавить;Add;Añadir
System.Filter.AddRow;Добавить строку;Add row;Añadir fila
System.Filter.AdvancedFilter;Расширенный фильтр;Advanced filter;Filtro avanzado
System.Filter.AND;И;AND;Y
System.Filter.Asc;по возрастанию;ascending;ascendente
System.Filter.ClearFilter;Очистить фильтр;Clear filter;Limpiar filtro
System.Filter.Column;Столбец;column;columna
System.Filter.ColumnsToDisplay;Отображаемые столбцы;Columns to display;Columnas para mostrar
System.Filter.Condition;Условие;Condition;Condición
System.Filter.Contains;содержит;contains;contiene
System.Filter.Criterion;Критерий;Criterion;Criterio
System.Filter.Delete;Удалить;Delete;Eliminar
System.Filter.Desc;по убыванию;descending;descendente
System.Filter.Down;Вниз;Down;Abajo
System.Filter.Error.BracketsNotConsistent;Скобки не согласованы;Brackets are not consistent;Los paréntesis no son coincidentes
System.Filter.Error.UnsupportedTypeExpression;Неподдерживаемый тип Expression:;Unsupported type of expression:;Tipo de expresión no admitida:
System.Filter.Field;Поле;Field;Campo
System.Filter.Grouping.No;нет;no;no
System.Filter.LastDays;последние &quot{0}&quot; days;últimos 0 días
System.Filter.LastXDays;последние x дней;last x days;últimos x días
System.Filter.Mode;Способ;mode;modo
System.Filter.No;Нет;No;No
System.Filter.NOT;НЕ;NOT;NO
System.Filter.NotElements;Фильтр не содержит элементов;The filter does not contain any elements;El filtro no contiene ningún elemento
System.Filter.NumberRowsOnPage;Количество строк на странице;Row count per page;Número de filas por página
System.Filter.Operator;Оператор;Operator;Operador
System.Filter.OR;ИЛИ;OR;O
System.Filter.Properties;Параметры фильтра;Filter Parameters;Parámetros del filtro
System.Filter.PropertiesOfVisibility;Свойства видимости;Visibility;Visibilidad
System.Filter.SimpleFilter;Простой фильтр;Simple filter;Filtro simple
System.Filter.StartsWith;начинается с;starts with;comienza con
System.Filter.Tabs.Filter;Фильтр;Filter;Filtro
System.Filter.Tabs.Filter.Properties;Параметры фильтра;Filter parameters;Parámetros del filtro
System.Filter.Tabs.Grouping;Группировка;Grouping;Agrupación
System.Filter.Tabs.Grouping.DeleteCurrentView;удалить текущее представление;delete the current view;eliminar la vista actual
System.Filter.Tabs.Grouping.MessageDelete;Вы действительно хотите удалить текущее представление?;Do you really want to delete the current view?;¿Realmente deseas eliminar la vista actual?
System.Filter.Tabs.List;Список;List;Lista
System.Filter.Tabs.Properties;Свойства;Properties;Propiedades
System.Filter.Tabs.Properties.DefaultView;представление по умолчанию;the default view;vista predeterminada
System.Filter.Tabs.Properties.Personal;личное;current user;usuario actual
System.Filter.Tabs.Properties.Shared;общее;all users;todos los usuarios
System.Filter.Tabs.Properties.TemplateParametersComment;Строка в формате параметр1=значение,параметр2=значение;String with the format: parameter1 = value, parameter2 = value;Cadena con el formato: parámetro1 = valor, parámetro2 = valor
System.Filter.Tabs.Properties.TemplateParametersOfList;Шаблон параметров списка;Template of parameters of the list;La plantilla de los parámetrros de la lista
System.Filter.Tabs.Properties.ToolTip.DefaultView;Предустановленное представление при отображении списка;Default view for the current list;Vista predeterminada para la lista actual
System.Filter.Tabs.Properties.ToolTip.Personal;Представление видно только создавшему пользователю;The view is visible only for the owner;La vista es visible solo para el propietario
System.Filter.Tabs.Properties.ToolTip.Shared;Представление видно всем пользователям;The view is visible to all users;La vista es visible para todos los usuarios
System.Filter.Tabs.Sorting;Сортировка;Sorting;Ordenamiento
System.Filter.Custom;Без названия;Custom;Personalizado
System.Filter.ViewSettings;Представление;View settings;Configuración de vista
System.Filter.CreateView;Создать представление;Create view;Crear vista
System.Filter.EditView;Изменить это представление;Edit current view;Editar vista actual
System.Filter.ToolTip.ClosingBrackets;Закрывающие скобки;Closing brackets;Los paréntesis de cierre
System.Filter.ToolTip.Delete;Удалить;Delete;Eliminar
System.Filter.ToolTip.MoveDown;Переместить вниз;Move Down;Mover hacia abajo
System.Filter.ToolTip.MoveUp;Переместить вверх;Move Up;Mover hacia arriba
System.Filter.ToolTip.Negation;Отрицание;Negation;Negación
System.Filter.ToolTip.OpeningBrackets;Открывающие скобки;Opening brackets;Los paréntesis de apertura
System.Filter.ToolTip.SaveAs;Сохранить копию представления с новым именем;Save as;Guardar como
System.Filter.ToolTip.UpdateView;Изменить параметры представления;Update view;Actualizar vista
System.Filter.Up;Вверх;Up;Arriba
System.Filter.Value;Значение;Value;Valor
System.Filter.Yes;Да;Yes;Sí
System.Filter.SaveAs;Сохранить как...;Save as...;Guardar como...
System.Filter.UpdateView;Обновить;Update;Actualizar
System.Filter.DeleteView;Удалить;Delete;Eliminar

longoperation.updatequeue;Обновить очередь;Update;Actualizar
longoperation.runtask;Запустить операцию;Start;Iniciar
longoperation.monitor;Очередь;Queue;Cola
tango.longoperation.longoperationticket.actionid;ID;ID;ID
tango.longoperation.longoperationticket.createdate;Дата добавления;Post date;Fecha de publicación
tango.longoperation.longoperationticket.rundate;Дата запуска;Start date;Fecha de inicio
tango.longoperation.longoperationticket.status;Статус;Status;Estado
tango.longoperation.longoperationticket.type;Тип;Type;Tipo
tango.longoperation.longoperationticket.ismanualstart;Ручной;Manual;Manual
tango.longoperation.longoperationticket.onethread;Последовательный запуск;One thread;Modo monohilo
tango.longoperation.longoperationticket.priority;Приоритет;Priority;Prioridad
tango.longoperation.longoperationticket.username;Пользователь;User;Usuario
tango.longoperation.longoperationticket-pl;Очередь длительных операций;Queue long operations;Cola de operaciones largas
